[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c4141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c41414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c4141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c4141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c41414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c41414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c41414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c4141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c41414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c4141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c41414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] OSError | SIGBUS: Bus Error - Null Pointer Dereference Attempted | HEX: 535441524b5f50524f544f7c44415441005f48494444454e5f5041594c4f41445f42424242424242424242424242424242424242424242424242424242424242424242424242424242
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] MemoryError | SIGSEGV: Segmentation Fault - Stack Buffer Overflow at 0x7FFFCC23 | HEX: 535441524b5f50524f544f7c41414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e257325782564256e
[2026-06-27 07:59:40] ValueError | SIGILL: Illegal Instruction - Information Leak / CPU Register Pointer Corrupted | HEX: 535441524b5f50524f544f7c257325782564256e257325782564256e
